cpt_code,cpt_name
00000,AV DELAY OPTIMIZATION FOR HOCM PATIENTS
00002,"DERMABRASION SCAR, SIMPLE UP TO 2.5CM"
00004,MONOCLONAL AB ASSAY FOR WBC
00007,APEX WONDER SPUR
00009,"BILATERAL NASAL/SINUS ENDOSCOPY,BX/DEBRID"
00012,"PURE TONE AUDIOMETRY, AIR UNI"
00013,BIOMETRY - NON-SURGICAL EYE
00015,SPEECH THRES/WRS UNI
00016,BASIC COMP UNI
00017,TYMPANOMETRY UNI
0001A,HB ADM SARSCOV2 30MCG/0.3ML 1ST DOSE PFIZER
0001F,HEART FAILURE COMPOSITE
0001T,ENDOVAS REPR ABDO AO ANEURYS
0001U,CHG RBC DNA HEA 35 AG 11 BLD GRP WHL BLD CMN ALLEL
00020,MYRINGOTOMY BILATERAL
00022,SPECIAL REPORTS OR FORMS-COMPLEX
00023,"AIRCAST XP WALKER, LARGE"
00024,"MISSED APPT FEE, RETURN"
00027,"DESTRUCT LESION,CHOROID RIGHT"
00028,XEOMIN 100 UNIT VIAL
00029,"DESTRUCT LESION,RETINA RIGHT"
0002A,HB ADM SARSCOV2 30MCG/0.3ML 2ND DOSE PFIZER
0002T,ENDOVAS REPR ABDO AO ANEURYS
0002U,CHG ONC CLRCT QUAN 3 UR METABOLITES ALG ADNMTS PLP
00039,"PAIR, AMB SURGICAL BOOTS"
0003M,"HB REF NASH FIBROSURE, LIVER DISEASE, 10 ASSAYS"
0003T,CERVICOGRAPHY
0003U,CHG ONC OVARIAN ASSAY 5 PROTEINS SERUM ALG SCOR
00040,"LASIK, BILATERAL"
00041,"ELASTIC KNEE SLEEVE, LARGE"
00042,"LASIK, RIGHT EYE"
00043,ENDOMYSIAL AUTOANTIBODIES
00044,ANTEPARTUM CARE ONLY
00046,SORBOTHANE ACCOM HEEL PADS
00047,SORBOTHANE HEEL INSERT
00048,OCULAR PHOTO THERAPY RIGHT
0004U,CHG NFCT DS DNA 27 RESIST GENES  BCT CUL PR ISOL
00059,"PKR, BILATERAL"
0005F,OSTEOARTHRITIS COMPOSITE
0005T,PERC CATH STENT/BRAIN CV ART
0005U,CHG ONCO PRST8 GENE XPRS PRFL 3 GENE UR ALG RSK SCOR
00060,"PKR, LEFT"
00061,"PKR, RIGHT"
00062,BLEPH UPPER EYELID BIL
00065,KNEE SUPPORT HINGED MEDIUM
00067,BOTOX CROWS FEET
00068,BREGG SHOULDER EXERCISE KIT
00069,BOTOX GLABELLA AND CROWS FEET
0006T,PERC CATH STENT/BRAIN CV ART
0006U,CHG DETCJ IA MEDS SBST SUPPL & FOODS 120+ ANALYTES
00070,BOTOX FOREHEAD AND CROWS FEET
00071,COLD THERAPY WRAP SMALL
